domain,subject,issuer,version,serial_number,not_before,not_after
kolkataff.in,CN=kolkataff.in,"CN=WE1,O=Google Trust Services,C=US",v3,174710275740402483018082036025948995506,2024-06-29 00:39:03,2024-09-27 00:39:02
kolkataff.in,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
kolkataff.in,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
mangabuff.ru,CN=mangabuff.ru,"CN=WE1,O=Google Trust Services,C=US",v3,109900802677497278303370698000551850432,2024-07-24 23:41:56,2024-10-22 23:41:55
mangabuff.ru,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
mangabuff.ru,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
wildberries.ru,CN=*.wildberries.ru,"CN=GlobalSign GCC R6 AlphaSSL CA 2023,O=GlobalSign nv-sa,C=BE",v3,23595254951716814118184925090,2024-06-18 08:12:14,2025-07-20 08:12:13
wildberries.ru,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R6","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R6",v3,1417766617973444989252670301619537,2014-12-10 00:00:00,2034-12-10 00:00:00
wildberries.ru,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R6","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,155676729040890238189024451768220428940,2019-06-19 00:00:00,2028-01-28 12:00:00
wildberries.ru,"CN=GlobalSign GCC R6 AlphaSSL CA 2023,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R6",v3,168973820516572524429807138621339950720,2023-07-19 03:43:25,2026-07-19 00:00:00
google.co.in,CN=*.google.co.in,"CN=WR2,O=Google Trust Services,C=US",v3,99623928646973390411111457718545621607,2024-07-30 12:53:02,2024-10-22 12:53:01
google.co.in,"CN=WR2,O=Google Trust Services,C=US","CN=GTS Root R1,O=Google Trust Services LLC,C=US",v3,170058220837755766831192027518741805976,2023-12-13 09:00:00,2029-02-20 14:00:00
google.co.in,"CN=GTS Root R1,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,159159747900478145820483398898491642637,2020-06-19 00:00:42,2028-01-28 00:00:42
m.tabor.ru,CN=*.tabor.ru,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",v3,15215302097697646488982081023,2024-03-16 11:23:18,2025-04-17 11:23:17
m.tabor.ru,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,159159760133684200934995208963191631770,2020-07-28 00:00:00,2029-03-18 00:00:00
m.tabor.ru,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,4835703278459759426209954,2009-03-18 10:00:00,2029-03-18 10:00:00
uidai.gov.in,"CN=*.uidai.gov.in,O=UNIQUE IDENTIFICATION AUTHORITY OF INDIA,L=Bangalore,ST=Karnataka,C=IN","CN=emSign SSL CA - G1,O=eMudhra Technologies Limited,OU=emSign PKI,C=IN",v3,438342447859593751041277022877635365,2024-07-18 11:56:27,2025-08-12 11:56:27
uidai.gov.in,"CN=emSign SSL CA - G1,O=eMudhra Technologies Limited,OU=emSign PKI,C=IN","CN=emSign Root CA - G1,O=eMudhra Technologies Limited,OU=emSign PKI,C=IN",v3,158103984135515362304145,2018-02-18 18:30:00,2033-02-18 18:30:00
uidai.gov.in,"CN=emSign Root CA - G1,O=eMudhra Technologies Limited,OU=emSign PKI,C=IN","CN=emSign Root CA - G1,O=eMudhra Technologies Limited,OU=emSign PKI,C=IN",v3,235931866688319308814040,2018-02-18 18:30:00,2043-02-18 18:30:00
ya.ru,"CN=*.xn--d1acpjx3f.xn--p1ai,O=YANDEX LLC,L=Moscow,ST=Moscow,C=RU","CN=GlobalSign ECC OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,37391386345674715575749168679,2024-07-12 08:02:20,2025-01-09 20:59:59
ya.ru,"CN=GlobalSign ECC OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign ECC Root CA - R5",v3,153000606118409493719133825244,2018-11-21 00:00:00,2028-11-21 00:00:00
ya.ru,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign ECC Root CA - R5","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,155676728850616253395111244089319555735,2019-06-19 00:00:00,2028-01-28 12:00:00
gismeteo.ru,CN=*.gismeteo.ru,"CN=AlphaSSL CA - SHA256 - G4,O=GlobalSign nv-sa,C=BE",v3,37821326542616167045179729738,2023-09-11 12:59:50,2024-10-12 12:59:49
gismeteo.ru,"CN=AlphaSSL CA - SHA256 - G4,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,166554658373203964493672915842458540151,2022-10-12 03:49:43,2027-10-12 00:00:00
gismeteo.ru,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,4835703278459707669005204,1998-09-01 12:00:00,2028-01-28 12:00:00
shopee.com.br,CN=*.shopee.com.br,"CN=GlobalSign GCC R6 AlphaSSL CA 2023,O=GlobalSign nv-sa,C=BE",v3,25177678501451641014242126544,2024-04-19 02:42:11,2025-05-21 02:42:10
shopee.com.br,"CN=GlobalSign GCC R6 AlphaSSL CA 2023,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R6",v3,168973820516572524429807138621339950720,2023-07-19 03:43:25,2026-07-19 00:00:00
shopee.com.br,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R6","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,155676729040890238189024451768220428940,2019-06-19 00:00:00,2028-01-28 12:00:00
shopee.com.br,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,4835703278459707669005204,1998-09-01 12:00:00,2028-01-28 12:00:00
passbook.epfindia.gov.in,"CN=*.epfindia.gov.in,O=EMPLOYEES PROVIDENT FUND ORGANISATION,L=New Delhi,ST=Delhi,C=IN","CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,9465501515815995653109400428468785333,2024-01-03 00:00:00,2025-01-17 23:59:59
passbook.epfindia.gov.in,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US","CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,17318747245906231087668175401711030649,2017-11-02 12:23:37,2027-11-02 12:23:37
passbook.epfindia.gov.in,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US","CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,4293743540046975378534879503202253541,2013-08-01 12:00:00,2038-01-15 12:00:00
