validity_category,certificate_authority,certificate_count
Long-term (>=181 days),3PI Information Systems,1
Long-term (>=181 days),ACCV,88
Long-term (>=181 days),AU UR RCOKO,1
Long-term (>=181 days),AWS,1
Long-term (>=181 days),Acme Co,11
Long-term (>=181 days),Actalis S.p.A.,1084
Long-term (>=181 days),Actalis S.p.A./03358520967,1
Long-term (>=181 days),AffirmTrust,1
Long-term (>=181 days),Agenzia delle Entrate,1
Long-term (>=181 days),Agenzia per l'Italia Digitale,2
Long-term (>=181 days),Alpiro s.r.o.,146
Long-term (>=181 days),Amazon,9376
Long-term (>=181 days),Apache Friends,3
Long-term (>=181 days),Apache HTTP Server,2
Long-term (>=181 days),Apple Inc.,1
Long-term (>=181 days),AttHost Sp z o.o.,1
Long-term (>=181 days),Baidu\,2
Long-term (>=181 days),Basekit Ltd,1
Long-term (>=181 days),Beijing Knownsec Information Technology Co.\,2
Long-term (>=181 days),Beijing Xinchacha Credit Management Co.\,19
Long-term (>=181 days),Beratung und Vertrieb von Hard- und Software,1
Long-term (>=181 days),Bitnami,2
Long-term (>=181 days),Bitrix,1
Long-term (>=181 days),Bitrix Inc.,1
Long-term (>=181 days),Buypass AS-983163327,21
Long-term (>=181 days),CA,2
Long-term (>=181 days),CERTDATA SERVICOS DE INFORMACAO LTDA,9
Long-term (>=181 days),CERTSIGN SA,61
Long-term (>=181 days),CLOUDFLARE\,39
Long-term (>=181 days),COMODO CA Limited,104
Long-term (>=181 days),CSWEB\,1
Long-term (>=181 days),Casa Civil do DF,1
Long-term (>=181 days),CentralNic Luxembourg Sàrl,199
Long-term (>=181 days),Certera,21
Long-term (>=181 days),Check Point,1
Long-term (>=181 days),China Financial Certification Authority,23
Long-term (>=181 days),CloudFlare\,6
Long-term (>=181 days),CloudSecure Corporation,1
Long-term (>=181 days),Companhia de Tecnologia da Informacao do Parana - Celepar,14
Long-term (>=181 days),Companyname,1
Long-term (>=181 days),Corporation Service Company,171
Long-term (>=181 days),Cybertrust Japan Co.\,1
Long-term (>=181 days),D-Trust GmbH,90
Long-term (>=181 days),DETRAN-CE,1
Long-term (>=181 days),DHIMYOTIS,798
Long-term (>=181 days),DM infra,1
Long-term (>=181 days),DNSPod\,2
Long-term (>=181 days),Default Company Ltd,1
Long-term (>=181 days),Deutsche Kreditbank AG,3
Long-term (>=181 days),Deutsche Post AG,19
Long-term (>=181 days),Deutsche Telekom Security GmbH,214
Long-term (>=181 days),DigiCert Inc,15574
Long-term (>=181 days),DigiCert Ireland Limited,234
Long-term (>=181 days),DigiCert\,1284
Long-term (>=181 days),Digital Rain,1
Long-term (>=181 days),Dis,1
Long-term (>=181 days),Disig a.s.,19
Long-term (>=181 days),E-SAFER CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,87
Long-term (>=181 days),ETICE Certificate Authority,20
Long-term (>=181 days),EUNETIC GmbH,33
Long-term (>=181 days),Entrust EU\,10
Long-term (>=181 days),Entrust Limited,2
Long-term (>=181 days),Entrust\,1079
Long-term (>=181 days),FASTPANEL,3
Long-term (>=181 days),FASTVPS,5
Long-term (>=181 days),FGA,1
Long-term (>=181 days),FNMT-RCM,258
Long-term (>=181 days),Facepe,1
Long-term (>=181 days),Firmaprofesional S.A.,54
Long-term (>=181 days),Fortinet,7
Long-term (>=181 days),Fortinet Inc.,1
Long-term (>=181 days),Fortinet Ltd.,1
Long-term (>=181 days),Freistaat Sachsen,1
Long-term (>=181 days),GEANT Vereniging,3818
Long-term (>=181 days),GVK EMRI 108,1
Long-term (>=181 days),Gandi,613
Long-term (>=181 days),Gandi SAS,197
Long-term (>=181 days),GeoTrust Inc.,2
Long-term (>=181 days),GeoTrust\,1
Long-term (>=181 days),Global Digital Cybersecurity Authority Co.\,2
Long-term (>=181 days),GlobalSign nv-sa,12252
Long-term (>=181 days),GoDaddy.com\,3217
Long-term (>=181 days),GoGetSSL,509
Long-term (>=181 days),Hellenic Academic and Research Institutions CA,173
Long-term (>=181 days),Henji,1
Long-term (>=181 days),Hestia Control Panel,7
Long-term (>=181 days),Host default domain,1
Long-term (>=181 days),ICP-Brasil,36
Long-term (>=181 days),IPEXO,1
Long-term (>=181 days),ITC,1
Long-term (>=181 days),IZENPE S.A.,5
Long-term (>=181 days),IdenTrust,21
