country,count
US,405948
BR,36163
JP,30476
IN,25060
RU,21772
DE,19059
IT,16104
FR,14444
PL,14245
UK,13943
ID,12324
CO,9543
NL,9110
ES,8814
UA,7764
AR,7733
KR,7288
MX,7174
AU,6867
CZ,6835
IR,6484
VN,6390
TW,6320
RO,5865
TR,5756
IO,5730
CA,5653
GR,5293
HU,5269
CL,5095
BE,4316
EU,3882
SE,3758
ZA,3458
IL,3325
ME,3239
PT,3160
SK,3155
CC,3058
MY,2986
FI,2936
PE,2914
TV,2884
TH,2750
DK,2687
AT,2544
PK,2397
CH,2380
BY,2378
PH,2337
NO,2230
BG,2125
RS,2001
HR,1977
NZ,1750
LT,1611
IE,1534
KZ,1526
AI,1408
EC,1336
CN,1143
BD,1111
SI,1095
MA,1085
UZ,1064
SA,1057
LV,1030
NG,1029
UY,1006
SG,995
HK,992
EE,929
LK,896
AE,848
AZ,798
TO,737
GG,723
KE,722
GE,698
MD,673
EG,608
TN,590
PY,538
BA,521
NP,518
DO,493
GT,489
BO,488
VE,482
MK,452
DZ,428
AM,402
CR,399
IS,388
TZ,345
NU,327
KG,326
PA,272
SV,267
JO,253
FM,246
WS,245
CY,240
MN,238
LA,207
AL,193
UG,189
PW,188
HN,184
LU,170
GH,167
AC,160
IQ,141
QA,140
CI,136
OM,136
MZ,136
RE,132
ET,132
IM,128
KW,125
AO,124
ZM,123
MT,121
LY,120
BZ,118
NI,117
SN,113
RW,113
SO,107
MU,105
CU,103
LB,98
ZW,96
TJ,96
CM,92
MM,90
AG,88
PS,87
MV,85
VC,84
ST,75
SY,73
KH,72
SH,72
LI,70
CX,69
BH,65
BJ,65
TT,64
BT,56
PM,55
NA,54
TM,54
JM,52
MW,51
MS,46
BW,46
MG,46
SC,42
SX,40
MO,39
CD,39
BN,38
NC,38
FJ,37
PR,35
PG,34
TG,34
CV,32
GS,30
AF,29
BF,28
VG,27
PF,26
FO,26
GY,26
GD,25
YE,25
SR,24
HT,24
AD,22
TF,20
WF,20
GA,20
GL,20
TL,19
TK,18
YT,18
LC,18
VA,17
AS,15
MQ,14
ML,14
LS,14
GP,13
TC,13
SM,13
SD,12
MR,12
JE,12
SL,11
AX,11
BI,10
SZ,10
MC,10
BB,10
GI,9
GM,9
MP,9
DJ,9
CG,9
BS,8
SB,8
BM,7
GN,7
VU,6
CF,5
CW,5
LR,5
KP,4
GW,4
NE,4
KY,3
GF,3
PN,3
DM,3
AW,3
SS,2
CK,2
GQ,1
NF,1
TD,1
KI,1
